Sl. No,Timestamp,Cell id,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12
12,1657875432,T9,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
13,1657875434,T9,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
14,1657875435,T9,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
15,1657875436,T9,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
16,1657875437,T9,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
0,1657875464,T10,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
1,1657875465,T10,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
2,1657875466,T10,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
3,1657875467,T10,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
4,1657875468,T10,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
5,1657875469,T10,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
6,1657875470,T10,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
7,1657875471,T10,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
8,1657875472,T10,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
9,1657875473,T10,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
10,1657875474,T10,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
11,1657875475,T10,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
12,1657875476,T10,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
13,1657875477,T10,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
14,1657875478,T10,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
15,1657875479,T10,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
16,1657875480,T10,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
17,1657875481,T10,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
18,1657875482,T10,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
0,1657875507,T11,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
1,1657875508,T11,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
2,1657875509,T11,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
3,1657875510,T11,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
4,1657875511,T11,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
5,1657875512,T11,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
6,1657875513,T11,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
7,1657875514,T11,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
8,1657875515,T11,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
9,1657875516,T11,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
10,1657875517,T11,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
11,1657875518,T11,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
12,1657875519,T11,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
13,1657875520,T11,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
14,1657875521,T11,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
15,1657875522,T11,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
16,1657875523,T11,-89,-64,-110,-110,-89,-110,-110,-110,-89,-110,-110,-110
